"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2019-10-30 09:03:00",270.57,270.58,270.09,270.13,545,270.425,0,282
"2019-10-30 09:04:00",270.2,270.59,269.88,270.55,826,270.301,0,571
"2019-10-30 09:05:00",270.52,270.64,270.51,270.56,162,270.6,0,96
"2019-10-30 09:06:00",270.53,270.53,270.41,270.44,95,270.464,0,68
"2019-10-30 09:07:00",270.52,270.62,270.52,270.59,21,270.534,0,4
"2019-10-30 09:08:00",270.58,270.64,270.55,270.62,8,270.591,0,7
"2019-10-30 09:09:00",270.62,270.67,270.6,270.64,53,270.638,0,42
"2019-10-30 09:10:00",270.63,270.72,270.63,270.69,35,270.684,0,29
"2019-10-30 09:11:00",270.7,270.73,270.69,270.71,23,270.718,0,17
"2019-10-30 09:12:00",270.7,270.8,270.7,270.74,63,270.766,0,42
"2019-10-30 09:13:00",270.74,270.74,270.67,270.68,171,270.695,0,115
"2019-10-30 09:14:00",270.67,270.72,270.67,270.7,37,270.713,0,22
"2019-10-30 09:15:00",270.75,270.77,270.67,270.68,18,270.723,0,15
"2019-10-30 09:16:00",270.69,270.71,270.67,270.69,29,270.69,0,23
